Gene_acc,Gene_id,PG.ProteinAccessions,WT.1,WT.2,WT.3,CAS9.1,CAS9.2,CAS9.3,Desc
0,GFP.BLA,GFP.BLA,11.026798978912424,12.436602771542965,12.288373416348522,17.447262605282067,17.352317468792226,17.29415782440303,GFP.BLA
1,Tb05.5K5.100,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,15.938145499274665,16.118840344288895,15.994937935355635,15.887964475459867,15.9281427932109,15.923754548467738,"hypothetical protein, conserved"
2,Tb05.5K5.110,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,19.95243439889608,19.70192816105949,19.676801705690433,19.726401950986272,19.83115161659527,19.638106415438088,"major vault protein, putative"
3,Tb05.5K5.120,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,16.46239780087266,16.690961778318123,16.69264316829393,16.732000623788426,17.731424486122982,16.723377432191253,"hypothetical protein, conserved"
4,Tb05.5K5.130,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,19.996644847692714,19.672814415425627,19.565411836374746,19.800543489337272,20.009017188926812,19.854926768517238,"paraflagellar rod component par4, putative"
5,Tb05.5K5.150,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,21.371091047135106,20.872999074524696,20.83563574278477,20.876844961422577,21.191513654993393,20.997414160615705,"ras-like small GTPase, putative"
6,Tb05.5K5.160,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,16.117262773626866,15.773455264809279,15.59946625646792,15.875989924746612,16.40785070361016,15.876993395948071,Kinetochore interacting protein 1
8,Tb05.5K5.20,Tb05.5K5.20:mRNA-p1;Tb927.5.4360:mRNA-p1,16.307188577281035,15.744412383974751,15.797169916460229,15.521099217216651,16.013824078708122,15.460296275861953,"hypothetical protein, conserved"
9,Tb05.5K5.200,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,20.667148258317216,20.478372298585167,20.40852734909329,20.345892479455838,20.439646901084,20.31299578879727,"guanine deaminase, putative"
10,Tb05.5K5.210,Tb05.5K5.210:mRNA-p1,17.65139839392094,18.103363053549934,18.09816110686086,18.34408618602467,18.130687284135565,18.30053047516135,hypothetical protein
11,Tb05.5K5.220,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,16.911535630317637,17.324915022289364,17.483552079742555,17.145631810083696,17.13595002827533,17.43269672126665,Flagellum adhesion protein 3
12,Tb05.5K5.240,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,17.731037434358054,17.456862350437103,17.464552729915876,16.74796460495832,17.246502141474092,17.00072489670969,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,19.68712596763168,19.770754414971222,19.763197066016687,19.869567487646947,19.59313440076206,19.83780480244448,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.50,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,18.448804446121184,17.639751500433594,17.53035406272881,17.752628404720515,18.44998033120376,17.802100779778172,"hypothetical protein, conserved"
15,Tb05.5K5.60,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,16.9841078420148,16.916440233770423,16.93302189332701,16.88889325060871,17.029459282305726,16.736806845445724,"hypothetical protein, conserved"
16,Tb05.5K5.70,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,21.337806302392547,20.97700673458877,20.93627551972163,20.74998897695222,21.139760702301235,20.867028128541865,"nucleolar RNA helicase II, putative"
17,Tb05.5K5.80,Tb05.5K5.80:mRNA-p1;Tb927.5.4430:mRNA-p1,16.914970465866507,16.917545265392786,17.02915425340013,16.934918582156314,16.7811645781937,17.05032695830401,"calcium/calmodulin-dependent protein kinase, putative"
18,Tb05.5K5.90,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,17.155070666096684,17.122530077141832,16.976508448783083,17.011548211338372,17.139628788863384,17.00951872573174,"dynein light chain, putative"
20,Tb06.3A7.960,Tb06.3A7.960:mRNA-p1,18.330170814644163,18.38971299223556,18.411351678328923,18.615941864920934,18.696864190383927,18.546894224446127,hypothetical protein
