Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc
0,GFP.BLA,-5.4314615032225735,16.956732345984378,16.46883649868045,GFP.BLA
1,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,0.11988006126212625,15.925680551815272,0.21941609929151462,"hypothetical protein, conserved"
2,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,0.06102750154402514,19.5432632904078,0.055739881658733066,"major vault protein, putative"
3,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,-0.4310738575374202,16.994244643665485,0.20332882277679598,"hypothetical protein, conserved"
4,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,-0.12734604176085185,19.746103121036814,0.21947670087841625,"paraflagellar rod component par4, putative"
5,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,0.020510436472861215,20.84269228543181,0.008028099690433525,"ras-like small GTPase, putative"
6,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,-0.20769050246502374,15.996876298118977,0.08031151796710956,Kinetochore interacting protein 1
8,Tb05.5K5.20:mRNA-p1;Tb927.5.4360:mRNA-p1,0.3003765093116595,15.834839116183952,0.42134670733361285,"hypothetical protein, conserved"
9,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,0.1676969862214186,20.353210334898172,0.5159616390364549,"guanine deaminase, putative"
10,Tb05.5K5.210:mRNA-p1,-0.29160105632805156,18.448833651656386,1.0033067674696698,hypothetical protein
11,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,0.017767464909859143,17.272635487546836,0.003527087632231017,Flagellum adhesion protein 3
12,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,0.5682796978582054,16.93775992787806,1.1537694707956414,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,-0.010617006742734247,19.747447146955846,0.008028099690433525,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,-0.11274042813772667,17.756915039003175,0.03952272180622804,"hypothetical protein, conserved"
15,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,0.07532960425259105,16.936315299360913,0.11257939280502557,"hypothetical protein, conserved"
16,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,0.180629656971103,20.82987803886023,0.4344257455082373,"nucleolar RNA helicase II, putative"
17,Tb05.5K5.80:mRNA-p1;Tb927.5.4430:mRNA-p1,0.04761269600369644,17.137212831701056,0.008680472655526697,"calcium/calmodulin-dependent protein kinase, putative"
18,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,0.04699722936459949,17.080564621771593,0.008028099690433525,"dynein light chain, putative"
20,Tb06.3A7.960:mRNA-p1,-0.2269621908455477,18.424775255731568,0.45426908221600637,hypothetical protein
21,Tb07.11L3.100:mRNA-p1;Tb927.7.2150:mRNA-p1,0.3728770530857233,15.174450074647103,0.36901822983627036,SUMO-interacting motif-containing protein
22,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,-0.08553187108056548,17.541803479039217,0.28039867905206994,"zinc finger protein family member, putative"
23,Tb08.27P2.110:mRNA-p1;Tb927.8.480:mRNA-p1,-0.9868125325797283,16.660246173503513,1.0838288826938172,"phosphatidic acid phosphatase protein, putative"
